CPU COOLER,PRICE,Inventory,cooler_fan_rpm,cooler_color
NZXT Kraken Z63 98.17 CFM Liquid,12900,1,500 - 1800 RPM,Black
Noctua NH-U12A chromax.black 60.09 CFM,18800,1,450 - 2000 RPM,Black
Corsair iCUE H150i ELITE CAPELLIX 75 CFM Liquid,13000,1,2400 RPM,Black
Noctua NH-D15S 82.52 CFM,17900,1,300 - 1500 RPM,Black
NZXT Kraken Z73 73.11 CFM Liquid,22900,1,500 - 1800 RPM,Black
ARCTIC Liquid Freezer II 280 72.8 CFM Liquid,17900,1,200 - 1700 RPM,Black
Aerocool Cylon 4 52.5 CFM,9000,1,800 - 1800 RPM,Black
Corsair iCUE H100i ELITE CAPELLIX 75 CFM Liquid,20450,1,2400 RPM,Black
NZXT Kraken X53 73.11 CFM Liquid,15450,1,500 - 2000 RPM,Black
ARCTIC Alpine 23 CO,2900,1,100 - 2000 RPM,Black
EK EK-AIO Basic 360 77 CFM Liquid,21850,1,550 - 2200 RPM,Black
Corsair iCUE H100i RGB PRO XT 75 CFM Liquid,23700,1,2400 RPM,Black
be quiet! Pure Loop 120 Liquid,19750,1,0,Black
Corsair H105 73 CFM Liquid,18550,1,800 - 2700 RPM,Black
Noctua NH-D15S chromax.black 82.51 CFM,17350,1,300 - 1500 RPM,Black
ID-COOLING ZOOMFLOW 240X ARGB 62 CFM Liquid,22550,1,700 - 1500 RPM,Black
Corsair H100x 57.2 CFM Liquid,11700,1,1700 RPM,Black
be quiet! Dark Rock Pro 4 50.5 CFM,19450,1,1500 RPM,Black
Cooler Master Hyper 212 Black Edition 42 CFM,13800,1,650 - 2000 RPM,Black
Corsair iCUE H150i ELITE CAPELLIX 75 CFM Liquid,13000,0,2400 RPM,Black
MSI MAG CORE LIQUID 240R 78.73 CFM Liquid,22400,0,500 - 2000 RPM,Black
be quiet! Dark Rock Pro 4 50.5 CFM,19450,0,1500 RPM,Black
Thermalright AXP-90R 42.58 CFM,21300,0,2700 RPM,Silver / Gray
Cooler Master MASTERLIQUID ML240L RGB V2 65.59 CFM Liquid,20550,0,650 - 1800 RPM,Black
EK EK-AIO 240 D-RGB 66.04 CFM Liquid,25900,0,450 - 2600 RPM,Black
Corsair H150i PRO 47.3 CFM Liquid,19000,0,1600 RPM,Black
NZXT Kraken X63 98.17 CFM Liquid,11650,0,500 - 2000 RPM,Black
Vetroo V5 52 CFM,20000,0,800 - 1700 RPM,Black
Asus ROG STRIX LC 360 RGB White 80.95 CFM Liquid,11450,0,800 - 2500 RPM,Black
NZXT Kraken Z63 98.17 CFM Liquid,12900,0,500 - 1800 RPM,Black
Deepcool GAMMAXX GTE V2 64.5 CFM,2800,0,500 - 1650 RPM,Black
Noctua NH-L12S 55.44 CFM,21350,0,450 - 1850 RPM,Black
Noctua NH-U12S chromax.black 55 CFM,19500,0,300 - 1500 RPM,Black
Corsair iCUE H100i ELITE CAPELLIX 75 CFM Liquid,20450,0,2400 RPM,Black
Corsair H115i RGB PLATINUM 97 CFM Liquid,23050,0,2000 RPM,Black
Deepcool AS500 Plus 70.81 CFM,2700,0,500 - 1200 RPM,Black
Deepcool GAMMAXX GTE 56.5 CFM,4000,0,500 - 1500 RPM,Black
be quiet! Dark Rock 4,19150,0,1400 RPM,Black
Corsair H100i RGB PLATINUM 75 CFM Liquid,19100,0,2400 RPM,Black
NZXT Kraken X73 RGB 52.44 CFM Liquid,13350,0,500 - 1500 RPM,Black
Deepcool GAMMAXX 400 White 74.34 CFM,5000,0,900 - 1500 RPM,Black
Corsair iCUE H150i ELITE LCD 58.1 CFM Liquid,23950,0,450 - 2000 RPM,Black
Noctua NH-U12A 60.09 CFM,15950,0,450 - 2000 RPM,Black
Noctua NH-U12S chromax.black 55 CFM,19500,1,300 - 1500 RPM,Black
NZXT Kraken X63 RGB 91.19 CFM Liquid,25250,1,500 - 1500 RPM,Black
Thermaltake Water 3.0 240 ARGB Sync 56.45 CFM Liquid,19400,1,500 - 1500 RPM,Black
CRYORIG H7 49 CFM,14050,1,330 - 1600 RPM,Black
EVGA CLC 280 113.5 CFM Liquid,27350,1,600 - 2200 RPM,Black
NZXT Kraken X53 RGB 52.44 CFM Liquid,27950,1,500 - 1500 RPM,Black
Corsair H115i RGB PLATINUM 97 CFM Liquid,23050,1,2000 RPM,Black
ARCTIC Liquid Freezer II 360 56.3 CFM Liquid,18450,1,800 - 2000 RPM,Black
Corsair H150i PRO 47.3 CFM Liquid,19000,1,1600 RPM,Black
Cooler Master MasterLiquid ML360R RGB 66.7 CFM Liquid,28500,1,650 - 2000 RPM,Black
ID-COOLING SE-224-XT 76.16 CFM,16650,1,700 - 1800 RPM,Black
MSI MAG CORE LIQUID 360R 78.73 CFM Liquid,26100,1,500 - 2000 RPM,Black
Vetroo V5 52 CFM,20000,1,800 - 1700 RPM,Black
Lian Li GALAHAD AIO 360 RGB 69.17 CFM Liquid,15550,1,800 - 1900 RPM,Black
Noctua NH-L9i chromax.black 33.84 CFM,19300,1,600 - 2500 RPM,Black
ARCTIC Liquid Freezer II 240 A-RGB 48.8 CFM Liquid,15400,1,200 - 1800 RPM,Black
be quiet! Pure Rock 2 Black,15900,1,1500 RPM,Black
Cooler Master MasterLiquid ML240L V2 RGB 62 CFM Liquid,24500,1,650 - 1800 RPM,Black
Noctua NH-U12A 60.09 CFM,15950,1,450 - 2000 RPM,Black
Noctua NH-U12S 55 CFM,18800,1,300 - 1500 RPM,Black
Lian Li GALAHAD AIO 240 RGB 69.17 CFM Liquid,20600,1,800 - 1900 RPM,Black
Corsair H100i RGB PLATINUM SE 63 CFM Liquid,19300,1,2200 RPM,Black
NZXT Kraken Z53 73.11 CFM Liquid,26500,1,500 - 2000 RPM,Black
Corsair H100i PRO 75 CFM Liquid,15750,1,2400 RPM,Black
