Video Card,Video Card Price,gpu_chipset,gpu_memory,gpu_core_clock,gpu_boostclock,gpu_color
NVIDIA GeForce RTX 3070 Ti 8 GB Founders Edition,178000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1770 MHz,Black
Palit GeForce RTX 3090 24 GB GamingPro OC,365000,GeForce RTX 3090,24 GB,1395 MHz,1725 MHz,Black / Silver
Zotac GeForce RTX 3070 8 GB GAMING Twin Edge OC,159000,GeForce RTX 3070,8 GB,1500 MHz,1755 MHz,Black
Sapphire Radeon RX 6900 XT 16 GB Toxic Extreme Edition,356000,Radeon RX 6900 XT,16 GB,1825 MHz,2525 MHz,Black
EVGA GeForce RTX 3070 Ti 8 GB FTW3 ULTRA GAMING,178000,GeForce RTX 3070 Ti,8 GB,1575 MHz,1860 MHz,Black
MSI GeForce RTX 3070 8 GB SUPRIM,165200,GeForce RTX 3070,8 GB,1500 MHz,1845 MHz,Black / Silver
EVGA GeForce RTX 3060 12 GB XC GAMING,130000,GeForce RTX 3060,12 GB,1320 MHz,1882 MHz,Black
Sapphire Radeon RX 5500 XT 4 GB PULSE,50000,Radeon RX 5500 XT,4 GB,1607 MHz,1845 MHz,Black
PNY GeForce RTX 3070 8 GB XLR8 Gaming REVEL EPIC-X RGB,154000,GeForce RTX 3070,8 GB,1500 MHz,1725 MHz,Black / Silver
EVGA GeForce GTX 1080 Ti 11 GB FTW3 HYBRID GAMING,189200,GeForce GTX 1080 Ti,11 GB,1569 MHz,1683 MHz,Black
EVGA GeForce RTX 3080 10 GB XC3 ULTRA HYBRID GAMING,212000,GeForce RTX 3080 10GB LHR,10 GB,1440 MHz,1755 MHz,Black
Asus GeForce GTX 1070 Ti 8 GB ROG STRIX,110000,GeForce GTX 1070 Ti,8 GB,1607 MHz,1759 MHz,Black
MSI GeForce RTX 3080 Ti 12 GB GAMING X TRIO,213000,GeForce RTX 3080 Ti,12 GB,1365 MHz,1770 MHz,Black / Silver
Asus GeForce GTX 1080 Ti 11 GB STRIX GAMING,185000,GeForce GTX 1080 Ti,11 GB,1493 MHz,1632 MHz,Black
Zotac GeForce GTX 1650 SUPER 4 GB GAMING Twin Fan,66000,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1725 MHz,Black
Asus GeForce GTX 1650 SUPER 4 GB TUF GAMING OC,70000,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1800 MHz,Black
EVGA GeForce GTX 1650 SUPER 4 GB SC ULTRA GAMING,77000,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1755 MHz,Black
MSI GeForce GTX 1650 SUPER 4 GB GAMING X,79500,GeForce GTX 1650 SUPER,4 GB,1530 MHz,1755 MHz,Black / Silver
EVGA GeForce RTX 3080 10 GB XC3 ULTRA GAMING,212000,GeForce RTX 3080 10GB LHR,10 GB,1440 MHz,1755 MHz,Black
EVGA GeForce GTX 1660 6 GB XC BLACK GAMING,79000,GeForce GTX 1660,6 GB,1530 MHz,1785 MHz,Black
