Motherboard,Motherboard Price,mobo_socket_cpu,mobo_form_factor,mobo_memory_max,mobo_memory_slots,mobo_color,Inventory
Gigabyte B550 AORUS PRO V2 ATX AM4,43800,AM4,ATX,128 GB,4,Black,1
Asus PRIME Z690M-PLUS D4 Micro ATX LGA1700,41050,LGA1700,Micro ATX,128 GB,4,Silver / Black
MSI MAG B550 TOMAHAWK ATX AM4,23550,AM4,ATX,128 GB,4,Black / Silver
Gigabyte Z690 AORUS ELITE AX DDR4 ATX LGA1700,36450,LGA1700,ATX,128 GB,4,Black / Silver
MSI MPG B550 GAMING EDGE WIFI ATX AM4,37700,AM4,ATX,128 GB,4,Black / Silver
Asus ROG STRIX Z490-E GAMING ATX LGA1200,73800,LGA1200,ATX,128 GB,4,Black
Gigabyte X570 AORUS ELITE WIFI ATX AM4,31550,AM4,ATX,128 GB,4,Black
MSI MPG Z390 GAMING EDGE AC ATX LGA1151,64700,LGA1151,ATX,128 GB,4,Black / Silver
Asus ROG Crosshair VIII Dark Hero ATX AM4,73500,AM4,ATX,128 GB,4,Black / Silver
MSI B450 TOMAHAWK MAX ATX AM4,34900,AM4,ATX,64 GB,4,Black
MSI MEG Z490 UNIFY ATX LGA1200,73050,LGA1200,ATX,128 GB,4,Black / Silver
MSI MPG Z390 GAMING PLUS ATX LGA1151,57850,LGA1151,ATX,128 GB,4,Black / Red
Gigabyte X570 AORUS MASTER ATX AM4,49350,AM4,ATX,128 GB,4,Black / Silver
Gigabyte B550I AORUS PRO AX Mini ITX AM4,52900,AM4,Mini ITX,64 GB,2,Black / Silver
MSI MPG Z590 GAMING PLUS ATX LGA1200,63700,LGA1200,ATX,128 GB,4,Black
Gigabyte X570 I AORUS PRO WIFI Mini ITX AM4,42150,AM4,Mini ITX,64 GB,2,Black / Silver
MSI X399 GAMING PRO CARBON AC ATX sTR4,29850,sTR4,ATX,128 GB,8,Black / Silver
Gigabyte Z590 AORUS ELITE ATX LGA1200,64900,LGA1200,ATX,128 GB,4,Black
Asus TUF GAMING B550M-PLUS (WI-FI) Micro ATX AM4,20900,AM4,Micro ATX,128 GB,4,Black
Asus ROG Strix X570-F Gaming ATX AM4,49450,AM4,ATX,128 GB,4,Black
MSI B550M PRO-VDH WIFI Micro ATX AM4,22350,AM4,Micro ATX,128 GB,4,Black
ASRock B560M Pro4 Micro ATX LGA1200,19950,LGA1200,Micro ATX,128 GB,4,Silver / Black
NZXT N7 B550 ATX AM4,49100,AM4,ATX,128 GB,4,White / Black
Asus ROG STRIX B550-I GAMING Mini ITX AM4,23800,AM4,Mini ITX,64 GB,2,Black
Asus ROG MAXIMUS Z690 HERO ATX LGA1700,101450,LGA1700,ATX,128 GB,4,Black / Silver
Asus ROG Strix X570-E Gaming ATX AM4,37900,AM4,ATX,128 GB,4,Black
Asus ROG Strix X570-I Gaming Mini ITX AM4,46950,AM4,Mini ITX,64 GB,2,Black
Asus TUF GAMING B550-PLUS (WI-FI) ATX AM4,33750,AM4,ATX,128 GB,4,Black
Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4,41350,AM4,ATX,128 GB,4,Black / Gold
Asus CROSSHAIR VI HERO (WI-FI AC) ATX AM4,79200,AM4,ATX,64 GB,4,Black / Gray
MSI MAG X570 TOMAHAWK WIFI ATX AM4,34400,AM4,ATX,128 GB,4,Black
Asus ROG Crosshair VIII Hero (WI-FI) ATX AM4,97600,AM4,ATX,128 GB,4,Black
MSI MPG B460I GAMING EDGE WIFI Mini ITX LGA1200,42800,LGA1200,Mini ITX,64 GB,2,Black / Silver
Gigabyte B450 I AORUS PRO WIFI Mini ITX AM4,19900,AM4,Mini ITX,64 GB,2,Black / Silver
Asus ROG STRIX B550-F GAMING ATX AM4,27250,AM4,ATX,128 GB,4,Black
Asus ROG MAXIMUS XII FORMULA ATX LGA1200,103100,LGA1200,ATX,128 GB,4,Black
Asus ROG STRIX B550-E GAMING ATX AM4,42000,AM4,ATX,128 GB,4,Black
MSI B450 TOMAHAWK ATX AM4,19850,AM4,ATX,64 GB,4,Black / Silver
MSI MAG Z690 TOMAHAWK WIFI DDR4 ATX LGA1700,37150,LGA1700,ATX,128 GB,4,Black / Silver
Asus ROG STRIX B450-F GAMING II ATX AM4,32150,AM4,ATX,128 GB,4,Black
Asus ROG MAXIMUS XIII HERO ATX LGA1200,93250,LGA1200,ATX,128 GB,4,Black
MSI B550-A PRO ATX AM4,24150,AM4,ATX,128 GB,4,Black / Silver
Asus ROG STRIX Z690-A GAMING WIFI D4 ATX LGA1700,47400,LGA1700,ATX,128 GB,4,Silver / Black
Asus ROG STRIX B550-F GAMING (WI-FI) ATX AM4,32000,AM4,ATX,128 GB,4,Black
MSI MPG X570 GAMING EDGE WIFI ATX AM4,48100,AM4,ATX,128 GB,4,Black / Silver
Gigabyte Z690 AORUS XTREME EATX LGA1700,55500,LGA1700,EATX,128 GB,4,Black
MSI MPG Z490 GAMING PLUS ATX LGA1200,51250,LGA1200,ATX,128 GB,4,Black / Silver
Asus TUF GAMING X570-PRO (WI-FI) ATX AM4,30150,AM4,ATX,128 GB,4,Black / Gold
Asus ROG STRIX B450-F GAMING ATX AM4,34050,AM4,ATX,64 GB,4,Black
Asus ROG STRIX Z490-H GAMING ATX LGA1200,71450,LGA1200,ATX,128 GB,4,Black / Red
Asus PRIME Z390-P ATX LGA1151,56000,LGA1151,ATX,128 GB,4,Silver / Black
MSI MPG Z490 GAMING EDGE WIFI ATX LGA1200,57550,LGA1200,ATX,128 GB,4,Black / Silver
MSI Z390-A PRO ATX LGA1151,45300,LGA1151,ATX,128 GB,4,Brown / Black
Asus TUF GAMING B560M-PLUS WIFI Micro ATX LGA1200,22900,LGA1200,Micro ATX,128 GB,4,Gold / Black
Asus Prime X470-Pro ATX AM4,27600,AM4,ATX,64 GB,4,Black / White
EVGA Z590 FTW WIFI ATX LGA1200,61350,LGA1200,ATX,128 GB,4,Black / Silver
MSI MAG B365M MORTAR Micro ATX LGA1151,27300,LGA1151,Micro ATX,64 GB,4,Black
MSI MPG Z490M GAMING EDGE WIFI Micro ATX LGA1200,75000,LGA1200,Micro ATX,128 GB,4,Black / Silver
Gigabyte Z390 AORUS PRO WIFI ATX LGA1151,50350,LGA1151,ATX,128 GB,4,Black / Silver
MSI MPG B550 GAMING PLUS ATX AM4,51650,AM4,ATX,128 GB,4,Black
ASRock A520M-HDV Micro ATX AM4,17650,AM4,Micro ATX,64 GB,2,Black / Silver
Asus Z97-A ATX LGA1150,48850,LGA1150,ATX,32 GB,4,Black / Gold
Asus ROG STRIX Z390-E GAMING ATX LGA1151,60750,LGA1151,ATX,128 GB,4,Black
MSI MEG Z490 ACE ATX LGA1200,74500,LGA1200,ATX,128 GB,4,Black / Gold
MSI Z590 PRO WIFI ATX LGA1200,47050,LGA1200,ATX,128 GB,4,Black
MSI Z170A GAMING M5 ATX LGA1151,38400,LGA1151,ATX,64 GB,4,Black / Red
Gigabyte Z490 VISION G ATX LGA1200,55450,LGA1200,ATX,128 GB,4,White / Black
Gigabyte Z590I AORUS ULTRA Mini ITX LGA1200,52450,LGA1200,Mini ITX,64 GB,2,Black
Gigabyte B550M AORUS PRO Micro ATX AM4,26000,AM4,Micro ATX,128 GB,4,Black / Silver
Gigabyte B550 AORUS ELITE AX V2 ATX AM4,29100,AM4,ATX,128 GB,4,Black / Silver
Gigabyte GA-Z270N-WIFI Mini ITX LGA1151,60700,LGA1151,Mini ITX,32 GB,2,Black / Gold
Gigabyte X570S AERO G ATX AM4,42900,AM4,ATX,128 GB,4,Black / White
MSI B450-A PRO MAX ATX AM4,37300,AM4,ATX,64 GB,4,Brown / Black
ASRock X570M Pro4 Micro ATX AM4,36200,AM4,Micro ATX,128 GB,4,Black / Silver
MSI MAG B550M BAZOOKA Micro ATX AM4,57600,AM4,Micro ATX,128 GB,4,Black / Silver
Asus PRIME Z390-A ATX LGA1151,52900,LGA1151,ATX,128 GB,4,Silver / Black
MSI MEG X570 UNIFY ATX AM4,31950,AM4,ATX,128 GB,4,Black
MSI MAG B550M MORTAR WIFI Micro ATX AM4,39200,AM4,Micro ATX,128 GB,4,Silver / Black
Asus ROG STRIX B550-A GAMING ATX AM4,31150,AM4,ATX,128 GB,4,Black / White
Asus ROG STRIX Z590-E GAMING WIFI ATX LGA1200,57850,LGA1200,ATX,128 GB,4,Black
Asus ROG STRIX Z590-A GAMING WIFI ATX LGA1200,50600,LGA1200,ATX,128 GB,4,Silver / Black
Asus PRIME B560-PLUS ATX LGA1200,28600,LGA1200,ATX,128 GB,4,Silver / Black
MSI X470 GAMING PLUS ATX AM4,47600,AM4,ATX,64 GB,4,Red / Black
ASRock X570 Taichi ATX AM4,48500,AM4,ATX,128 GB,4,Black / Silver
Asus ROG STRIX B460-I GAMING Mini ITX LGA1200,34850,LGA1200,Mini ITX,64 GB,2,Black / Silver
MSI MEG Z590I UNIFY Mini ITX LGA1200,70000,LGA1200,Mini ITX,64 GB,2,Black
Gigabyte GA-Z87X-UD5H ATX LGA1150,20850,LGA1150,ATX,32 GB,4,Black / Gray
ASRock B560M Pro4/ac Micro ATX LGA1200,22700,LGA1200,Micro ATX,128 GB,4,Silver / Black
Gigabyte H310M H Micro ATX LGA1151,25000,LGA1151,Micro ATX,32 GB,2,Silver / Brown
MSI Z87-G41 PC Mate ATX LGA1150,19100,LGA1150,ATX,32 GB,4,Black / Blue
Asus ROG STRIX B560-F GAMING WIFI ATX LGA1200,18450,LGA1200,ATX,128 GB,4,Black / Silver
Asus PRIME B560M-A Micro ATX LGA1200,27300,LGA1200,Micro ATX,128 GB,4,Silver / Black
ASRock Z370 Killer SLI ATX LGA1151,48550,LGA1151,ATX,64 GB,4,Black / Silver
MSI MPG B550I GAMING EDGE MAX WIFI Mini ITX AM4,26750,AM4,Mini ITX,64 GB,2,Black
MSI B450M MORTAR MAX Micro ATX AM4,24650,AM4,Micro ATX,64 GB,4,Black
Asus TUF GAMING X570-PLUS ATX AM4,42000,AM4,ATX,128 GB,4,Black / Gold
Gigabyte B550M AORUS ELITE Micro ATX AM4,54050,AM4,Micro ATX,128 GB,4,Black / Orange
Asus M5A97 R2.0 ATX AM3+,26950,AM3+,ATX,32 GB,4,Black / Blue
Asus P8Z77-V PRO ATX LGA1155,14550,LGA1155,ATX,32 GB,4,Black / Blue
MSI B450M BAZOOKA MAX WIFI Micro ATX AM4,26750,AM4,Micro ATX,128 GB,4,Black / Silver
MSI MEG B550 UNIFY ATX AM4,45000,AM4,ATX,128 GB,4,Black / Silver
MSI B450 GAMING PRO CARBON MAX WIFI ATX AM4,35100,AM4,ATX,128 GB,4,Black
Asus Prime Z370-A ATX LGA1151,46850,LGA1151,ATX,64 GB,4,Black / Silver
Gigabyte TRX40 AORUS MASTER EATX sTRX4,17000,sTRX4,EATX,256 GB,8,Black / Silver
MSI MAG B460M MORTAR WIFI Micro ATX LGA1200,31800,LGA1200,Micro ATX,128 GB,4,Silver / Black
ASRock B450M Steel Legend Micro ATX AM4,34550,AM4,Micro ATX,64 GB,4,Black / White
Asus ROG Crosshair VIII Hero ATX AM4,77450,AM4,ATX,128 GB,4,Black
Asus ROG STRIX Z690-E GAMING WIFI ATX LGA1700,53250,LGA1700,ATX,128 GB,4,Black
ASRock H510M-HDV/M.2 Micro ATX LGA1200,53350,LGA1200,Micro ATX,64 GB,2,Silver / Black
Asus STRIX B250F GAMING ATX LGA1151,34550,LGA1151,ATX,64 GB,4,Black / Silver
MSI B560M PRO-VDH WIFI Micro ATX LGA1200,21000,LGA1200,Micro ATX,128 GB,4,Black
Gigabyte X570 AORUS ULTRA ATX AM4,45700,AM4,ATX,128 GB,4,Black / Silver
Asus ROG STRIX Z370-E GAMING ATX LGA1151,55000,LGA1151,ATX,64 GB,4,Black / Silver
MSI H110M ECO Micro ATX LGA1151,29200,LGA1151,Micro ATX,32 GB,2,Black
Asus STRIX B350-F GAMING ATX AM4,44100,AM4,ATX,64 GB,4,Black
ASRock B450 Steel Legend ATX AM4,30250,AM4,ATX,64 GB,4,Black / Silver
Asus ROG Crosshair VIII Impact Mini DTX AM4,84950,AM4,Mini DTX,64 GB,2,Black
ASRock B550M Pro4 Micro ATX AM4,37800,AM4,Micro ATX,128 GB,4,Silver / Black
Asus PRIME Z490-A ATX LGA1200,69150,LGA1200,ATX,128 GB,4,Black / Silver
MSI MPG B550I GAMING EDGE WIFI Mini ITX AM4,59000,AM4,Mini ITX,64 GB,2,Black / Silver
Asus ROG MAXIMUS XII APEX ATX LGA1200,100450,LGA1200,ATX,64 GB,2,Black
MSI A320M PRO-M2 Micro ATX AM4,15400,AM4,Micro ATX,32 GB,2,Black
Asus ProArt X570-CREATOR WIFI ATX AM4,48750,AM4,ATX,128 GB,4,Black
Asus H97-PLUS ATX LGA1150,25000,LGA1150,ATX,32 GB,4,Black / Gold
Asus TUF Gaming Z590-PLUS WIFI ATX LGA1200,40050,LGA1200,ATX,128 GB,4,Silver / Black
MSI Z490-A PRO ATX LGA1200,53700,LGA1200,ATX,128 GB,4,Black / Silver
MSI Z370 TOMAHAWK ATX LGA1151,70100,LGA1151,ATX,64 GB,4,Black / Gray
ASRock X570 Taichi Razer Edition ATX AM4,43450,AM4,ATX,128 GB,4,Black / Silver
Asus ROG STRIX Z490-A GAMING ATX LGA1200,61750,LGA1200,ATX,128 GB,4,Black / Silver
Gigabyte GA-Z170X-Gaming 7 ATX LGA1151,36150,LGA1151,ATX,64 GB,4,Black / Red
MSI MAG B560 TOMAHAWK WIFI ATX LGA1200,20950,LGA1200,ATX,128 GB,4,Black
Gigabyte B450M AORUS ELITE Micro ATX AM4,20950,AM4,Micro ATX,128 GB,4,Black / Orange
ASRock B560 Steel Legend ATX LGA1200,18200,LGA1200,ATX,128 GB,4,Silver / Black
