Power Supply,Power Supply Price,psu_efficiency_rating,psu_wattage,Inventory
Corsair RM (2019) 750 W 80+ Gold Certified  Modular ATX,19500,80+ Gold,750 W,1
SeaSonic FOCUS 850 W 80+ Gold Certified  Modular ATX,34000,80+ Gold,850 W,1
Corsair TXM Gold 750 W 80+ Gold Certified  Modular ATX,23000,80+ Gold,750 W,1
Asus ROG Thor 1200P 1200 W 80+ Platinum Certified  Modular ATX,62000,80+ Platinum,1200 W,11
BitFenix Formula Gold 550 W 80+ Gold Certified  Modular ATX,15500,80+ Gold,550 W,1
EVGA G3 750 W 80+ Gold Certified  Modular ATX,18000,80+ Gold,750 W,1
Corsair RM (2019) 850 W 80+ Gold Certified  Modular ATX,24000,80+ Gold,850 W,1
Gigabyte P GM 750 W 80+ Gold Certified  Modular ATX,22500,80+ Gold,750 W,1
Corsair RMx (2018) 850 W 80+ Gold Certified  Modular ATX,23800,80+ Gold,850 W,11
Thermaltake Toughpower GF1 PE 650 W 80+ Gold Certified  Modular ATX,17500,80+ Gold,650 W,0
EVGA T2 1000 W 80+ Titanium Certified  Modular ATX,52000,80+ Titanium,1000 W,0
Aerocool Integrator 500 W 80+ Bronze Certified No Modular ATX,20500,80+ Bronze,500 W,0
Corsair SF 750 W 80+ Platinum Certified  Modular SFX,33000,80+ Platinum,750 W,0
be quiet! Straight Power 11 850 W 80+ Platinum Certified  Modular ATX,33000,80+ Platinum,850 W,0
Phanteks Revolt X 1000 W 80+ Platinum Certified  Modular ATX,54000,80+ Platinum,1000 W,0
Corsair RM (2019) 650 W 80+ Gold Certified  Modular ATX,16500,80+ Gold,650 W,0
Corsair RMx (2021) 850 W 80+ Gold Certified  Modular ATX,27000,80+ Gold,850 W,0
Cooler Master V SFX Gold 850 W 80+ Gold Certified  Modular SFX,28500,80+ Gold,850 W,1
EVGA P2 850 W 80+ Platinum Certified  Modular ATX,38000,80+ Platinum,850 W,1
Corsair RMx (2018) 750 W 80+ Gold Certified  Modular ATX,19300,80+ Gold,750 W,1
Cooler Master V Gold V2 750 W 80+ Gold Certified  Modular ATX,19500,80+ Gold,750 W,1
Thermaltake Smart 700 W 80+ Certified  Modular ATX,21000,80+,700 W,1
EVGA BR 700 W 80+ Bronze Certified  Modular ATX,18500,80+ Bronze,700 W,1
EVGA G2 1600 W 80+ Gold Certified  Modular ATX,54000,80+ Gold,1600 W,1
SeaSonic CORE GM 500 W 80+ Gold Certified  Modular ATX,15300,80+ Gold,500 W,1
Corsair RMx (2018) 650 W 80+ Gold Certified  Modular ATX,16000,80+ Gold,650 W,1
EVGA SuperNOVA GA 650 W 80+ Gold Certified  Modular ATX,19000,80+ Gold,650 W,1
Corsair CXF 550 W 80+ Bronze Certified  Modular ATX,14000,80+ Bronze,550 W,1
Cooler Master Elite V3 400 W 80+ Certified  Modular ATX,12500,80+,400 W,1
Corsair CV 450 W 80+ Bronze Certified  Modular ATX,12500,80+ Bronze,450 W,1
SeaSonic M12II 620 W 80+ Bronze Certified  Modular ATX,15900,80+ Bronze,620 W,1
EVGA G1+ 650 W 80+ Gold Certified  Modular ATX,16900,80+ Gold,650 W,1
Corsair CV 550 W 80+ Bronze Certified  Modular ATX,15000,80+ Bronze,550 W,1
Xilence Performance C 600 W  Certified  Modular ATX,17500,0,600 W,1
GameMax RGB Rainbow 750 W 80+ Gold Certified  Modular ATX,23000,80+ Gold,750 W,1
Corsair TX 650 W 80+ Bronze Certified  Modular ATX,17000,80+ Bronze,650 W,1
Corsair CXF 750 W 80+ Bronze Certified  Modular ATX,21500,80+ Bronze,750 W,1
SeaSonic PRIME Gold 1000 W 80+ Gold Certified  Modular ATX,38500,80+ Gold,1000 W,1
EVGA B3 550 W 80+ Bronze Certified  Modular ATX,26500,80+ Bronze,550 W,1
EVGA G5 1000 W 80+ Gold Certified  Modular ATX,32000,80+ Gold,1000 W,1
Corsair RMx 650 W 80+ Gold Certified  Modular ATX,16000,80+ Gold,650 W,1
Super Flower Leadex Gold 1300 W 80+ Gold Certified  Modular ATX,45000,80+ Gold,1300 W,1
SeaSonic FOCUS Plus Gold 850 W 80+ Gold Certified  Modular ATX,34500,80+ Gold,850 W,1
Corsair HX Platinum 1000 W 80+ Platinum Certified  Modular ATX,64000,80+ Platinum,1000 W,1
Gigabyte AORUS P GM 750 W 80+ Gold Certified  Modular ATX,20000,80+ Gold,750 W,1
Antec NeoECO Gold ZEN 600 W  Certified No Modular ATX,14500,0,600 W,1
Cougar VTE 600 W 80+ Bronze Certified  Modular ATX,21000,80+ Bronze,600 W,1
Asus TUF Gaming 750 W 80+ Bronze Certified  Modular ATX,21000,80+ Bronze,750 W,1
EVGA BR 450 W 80+ Bronze Certified  Modular ATX,12500,80+ Bronze,450 W,1
MSI MPG A-GF 650 W 80+ Gold Certified  Modular ATX,18200,80+ Gold,650 W,1
EVGA G2 1300 W 80+ Gold Certified  Modular ATX,45000,80+ Gold,1300 W,1
EVGA 100-B1-0700-K1 700 W 80+ Bronze Certified  Modular ATX,17500,80+ Bronze,700 W,1
EVGA SuperNOVA GM 450 W 80+ Gold Certified  Modular SFX,15000,80+ Gold,450 W,1
