Memory,Memory Price,ram_speed,ram_modules,ram_color,Inventoiry
Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3200 CL16,25000,DDR4-3200,2 x 16 GB,Black,1
Corsair Vengeance LPX 32 GB (4 x 8 GB) DDR4-3200 CL16,40000,DDR4-3200,4 x 8 GB,Black / Yellow,1
Team T-Force Delta RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,19500,DDR4-3600,2 x 8 GB,White,1
Corsair Dominator Platinum RGB 32 GB (4 x 8 GB) DDR4-3600 CL16,59500,DDR4-3600,4 x 8 GB,Black,1
G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-3600 CL15,21000,DDR4-3600,2 x 8 GB,Black,1
Corsair Vengeance RGB Pro 32 GB (4 x 8 GB) DDR4-3600 CL18,38500,DDR4-3600,4 x 8 GB,Black,1
G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-3600 CL16,35000,DDR4-3600,2 x 16 GB,Black,1
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3600 CL18,18500,DDR4-3600,2 x 8 GB,Black,1
Corsair Vengeance RGB Pro 32 GB (4 x 8 GB) DDR4-3200 CL16,37000,DDR4-3200,4 x 8 GB,Black,1
Crucial Ballistix 16 GB (2 x 8 GB) DDR4-3200 CL16,19500,DDR4-3200,2 x 8 GB,Black,1
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3600 CL16,46000,DDR4-3600,2 x 16 GB,Black,1
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3200 CL16,16000,DDR4-3200,2 x 8 GB,Black / Yellow,1
G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-3200 CL14,18500,DDR4-3200,2 x 8 GB,Silver / White,1
G.Skill Trident Z 32 GB (2 x 16 GB) DDR4-3200 CL14,39000,DDR4-3200,2 x 16 GB,Silver / White,1
G.Skill Trident Z Neo 32 GB (2 x 16 GB) DDR4-3600 CL16,32000,DDR4-3600,2 x 16 GB,Black / Silver,1
Corsair Vengeance RGB RS 16 GB (2 x 8 GB) DDR4-3200 CL16,14500,DDR4-3200,2 x 8 GB,Black / Gray,1
Crucial CT2K16G4DFD8266 32 GB (2 x 16 GB) DDR4-2666 CL19,33500,DDR4-2666,2 x 16 GB,Black,1
Team T-FORCE VULCAN Z 32 GB (2 x 16 GB) DDR4-3600 CL18,30000,DDR4-3600,2 x 16 GB,Black,1
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3200 CL16,45000,DDR4-3200,2 x 16 GB,Black,1
G.Skill Trident Z Neo 32 GB (4 x 8 GB) DDR4-3600 CL16,53500,DDR4-3600,4 x 8 GB,Silver / Black,1
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3200 CL16,16500,DDR4-3200,2 x 8 GB,Black,1
Corsair Dominator Platinum RGB 16 GB (2 x 8 GB) DDR4-3600 CL18,24000,DDR4-3600,2 x 8 GB,Black,1
