Storage,Storage Price,storage_capacity,storage_type,storage_form_factor,Inventory
Seagate Barracuda Compute 2 TB,24000,2 TB,SSD,"2.5""",1
Western Digital Blue 2 TB,43000,2 TB,SSD,M.2-2280,1
Kingston Savage 240 GB,3500,240 GB,SSD,"2.5""",1
Team CARDEA ZERO Z440 2 TB,24700,2 TB,SSD,M.2-2280,1
Seagate Barracuda 2 TB,23000,2 TB,7200RPM,"3.5""",1
Samsung 970 Evo 1 TB,27900,1 TB,SSD,M.2-2280,1
Samsung 980 Pro 1 TB,28500,1 TB,SSD,M.2-2280,1
Samsung 870 Evo 1 TB,26500,1 TB,SSD,"2.5""",1
Samsung 970 Evo Plus 1 TB,27900,1 TB,SSD,M.2-2280,1
Samsung 970 Evo 500 GB,18500,500 GB,SSD,M.2-2280,1
Western Digital WD_BLACK SN750 SE 1 TB,21000,1 TB,SSD,M.2-2280,1
Kingston A400 480 GB,8000,480 GB,SSD,"2.5""",1
Samsung 970 EVO Plus 2 TB,43000,2 TB,SSD,M.2-2280,1
Samsung 980 Pro 2 TB,45000,2 TB,SSD,M.2-2280,1
Corsair MP600 Force Series Gen4 1 TB,23500,1 TB,SSD,M.2-2280,1
Inland 2TB NVME PREMIU 2 TB,48000,2 TB,SSD,M.2-2280,1
Western Digital Caviar Green 2 TB,36000,2 TB,5400RPM,"3.5""",1
Crucial MX500 2 TB,32000,2 TB,SSD,"2.5""",1
Western Digital Caviar Blue 1 TB,12000,1 TB,7200RPM,"3.5""",1
Western Digital WD_BLACK SN750 1 TB,21000,1 TB,SSD,M.2-2280,1
Western Digital Blue 1 TB,29000,1 TB,SSD,"2.5""",1
Western Digital Blue SN550 500 GB,7000,500 GB,SSD,M.2-2280,1
Samsung 870 QVO 2 TB,43000,2 TB,SSD,"2.5""",1
Crucial P5 1 TB,22000,1 TB,SSD,M.2-2280,1
Samsung 980 1 TB,28500,1 TB,SSD,M.2-2280,1
Crucial MX500 1 TB,17500,1 TB,SSD,"2.5""",1
Western Digital Blue SN550 1 TB,12000,1 TB,SSD,M.2-2280,1
ADATA XPG GAMMIX S50 Lite 2 TB,43000,2 TB,SSD,M.2-2280,1
Seagate FireCuda 2 TB,65000,2 TB,SSD,M.2-2280,1
Western Digital WD_BLACK SN750 500 GB,14000,500 GB,SSD,M.2-2280,1
Kingston A2000 1 TB,27500,1 TB,SSD,M.2-2280,1
Corsair MP400 2 TB,41000,2 TB,SSD,M.2-2280,1
Samsung PM863 3.84 TB,73000,3.84 TB,SSD,"2.5""",1
Western Digital Purple 8 TB,50000,8 TB,7200RPM,"3.5""",1
Samsung 860 Evo 1 TB,26500,1 TB,SSD,"2.5""",1
Seagate BarraCuda 1 TB,12000,1 TB,7200RPM,"3.5""",1
Western Digital Black SN850 1 TB,27000,1 TB,SSD,M.2-2280,1
Crucial P2 1 TB,20000,1 TB,SSD,M.2-2280,1
Klevv CRAS C710 512 GB,14000,512 GB,SSD,M.2-2280,1
Seagate BarraCuda 4 TB,45000,4 TB,5900RPM,"3.5""",1
Western Digital Blue 500 GB,15000,500 GB,SSD,"2.5""",1
Western Digital Black 6 TB,43000,6 TB,7200RPM,"3.5""",1
Team MP33 1 TB,24700,1 TB,SSD,M.2-2280,1
Toshiba HDD3B03 2 TB,47500,2 TB,7200RPM,"3.5""",1
Kingston A400 1.92 TB,48000,1.92 TB,SSD,"2.5""",1
Corsair MP600 Core 2 TB,37500,2 TB,SSD,M.2-2280,1
Samsung 840 EVO 250 GB,7500,250 GB,SSD,"2.5""",1
Inland Premium 1 TB,27500,1 TB,SSD,M.2-2280,1
Toshiba HDD2J92 640 GB,47500,640 GB,5400RPM,"2.5""",1
Hitachi Travelstar 1 TB,27500,1 TB,7200RPM,"2.5""",1
SK hynix Gold P31 1 TB,24700,1 TB,SSD,M.2-2280,1
Western Digital Blue 4 TB,73000,4 TB,SSD,"2.5""",1
Western Digital Black SN850 (w/Heatsink) 2 TB,34000,2 TB,SSD,M.2-2280,1
Samsung 970 Evo Plus 500 GB,18500,500 GB,SSD,M.2-2280,1
Seagate Barracuda Compute 8 TB,60000,8 TB,5400RPM,"3.5""",1
Samsung 870 Evo 2 TB,48000,2 TB,SSD,"2.5""",1
Western Digital Blue 3 TB,59000,3 TB,5400RPM,"3.5""",1
Samsung 860 Evo 2 TB,48000,2 TB,SSD,M.2-2280,1
Samsung 850 EVO-Series 500 GB,16500,500 GB,SSD,"2.5""",1
Crucial P2 2 TB,37500,2 TB,SSD,M.2-2280,1
Intel 670p 512 GB,14000,512 GB,SSD,M.2-2280,1
Hitachi Ultrastar 2 TB,48000,2 TB,7200RPM,"3.5""",1
MSI SPATIUM M480 1 TB,27500,1 TB,SSD,M.2-2280,1
Seagate Barracuda 500 GB,13000,500 GB,7200RPM,"3.5""",1
Seagate Enterprise Capacity 1 TB,11000,1 TB,7200RPM,"2.5""",1
Sabrent Rocket 4 Plus 4 TB,50000,4 TB,SSD,M.2-2280,1
Crucial MX500 500 GB,12500,500 GB,SSD,"2.5""",1
Samsung Spinpoint M8 500 GB,18500,500 GB,5400RPM,"2.5""",1
Western Digital Caviar Blue 750 GB,8600,750 GB,7200RPM,"3.5""",1
Silicon Power A60 1 TB,21000,1 TB,SSD,M.2-2280,1
Seagate BarraCuda Pro Compute 1 TB,14000,1 TB,7200RPM,"2.5""",1
Western Digital Green 4 TB,38000,4 TB,5900RPM,"3.5""",1
Seagate Barracuda Compute 3 TB,30000,3 TB,5400RPM,"3.5""",1
Western Digital BLACK SERIES 2 TB,44500,2 TB,7200RPM,"3.5""",1
Seagate Barracuda Compute 1 TB,12000,1 TB,SSD,"2.5""",1
Gigabyte AORUS Gen4 7000s 1 TB,22500,1 TB,SSD,M.2-2280,1
Samsung Spinpoint F1 DT 1 TB,24700,1 TB,7200RPM,"3.5""",1
Western Digital Red 4 TB,33000,4 TB,5400RPM,"3.5""",1
SK hynix Gold S31 1 TB,24700,1 TB,SSD,"2.5""",1
Seagate FireCuda 1 TB,37400,1 TB,SSD,M.2-2280,1
Samsung 860 Evo 500 GB,16500,500 GB,SSD,M.2-2280,1
Western Digital WD Blue 2 TB,44000,2 TB,SSD,"2.5""",1
Western Digital Black 4 TB,26000,4 TB,7200RPM,"3.5""",1
Silicon Power A55 512 GB,14000,512 GB,SSD,"2.5""",1
Western Digital Black SN850 500 GB,14000,500 GB,SSD,M.2-2280,1
Toshiba P300 1 TB,47500,1 TB,7200RPM,"3.5""",1
ADATA XPG SX8200 Pro 1 TB,26000,1 TB,SSD,M.2-2280,1
Samsung 980 500 GB,18500,500 GB,SSD,M.2-2280,1
Western Digital HGST DC HC530 14 TB,38000,14 TB,7200RPM,"3.5""",1
Toshiba X300 5 TB,32000,5 TB,7200RPM,"3.5""",1
Toshiba X300 4 TB,25000,4 TB,7200RPM,"3.5""",1
Hitachi Travelstar 7K1000 1 TB,27500,1 TB,7200RPM,"2.5""",1
Sabrent Rocket 4.0 2 TB,48000,2 TB,SSD,M.2-2280,1
Seagate Barracuda 3 TB,27000,3 TB,7200RPM,"3.5""",1
Seagate Barracuda Compute 4 TB,45000,4 TB,5400RPM,"3.5""",1
Western Digital WD Blue 4 TB,59000,4 TB,5400RPM,"3.5""",1
ADATA XPG GAMMIX S70 1 TB,21000,1 TB,SSD,M.2-2280,1
Western Digital Gold 18 TB,80000,18 TB,7200RPM,"3.5""",1
Team T-FORCE Delta Max RGB 1 TB,24700,1 TB,SSD,"2.5""",1
Crucial P1 1 TB,19500,1 TB,SSD,M.2-2280,1
Samsung 970 Pro 1 TB,27900,1 TB,SSD,M.2-2280,1
Western Digital Black SN850 2 TB,45000,2 TB,SSD,M.2-2280,1
Samsung 870 QVO 1 TB,26500,1 TB,SSD,"2.5""",1
Toshiba DT01ACA100 1 TB,24700,1 TB,7200RPM,"3.5""",1
Kingston A2000 500 GB,11500,500 GB,SSD,M.2-2280,1
Sabrent Rocket Q 2 TB,48000,2 TB,SSD,M.2-2280,1
Samsung 980 Pro 500 GB,18500,500 GB,SSD,M.2-2280,1
Samsung 980 Pro 250 GB,8000,250 GB,SSD,M.2-2280,1
Western Digital Blue SN550 250 GB,3400,250 GB,SSD,M.2-2280,1
Crucial BX500 1 TB,22500,1 TB,SSD,"2.5""",1
Sabrent Rocket 4.0 1 TB,27500,1 TB,SSD,M.2-2280,1
Crucial P1 500 GB,13200,500 GB,SSD,M.2-2280,1
Mushkin Pilot-E 2 TB,48000,2 TB,SSD,M.2-2280,1
Toshiba MK3276GSX 320 GB,47500,320 GB,5400RPM,"2.5""",1
Mushkin Enhanced Helix-L 1 TB,27500,1 TB,SSD,M.2-2280,1
Gigabyte AORUS 1 TB,22500,1 TB,SSD,PCI-E,1
Crucial P2 500 GB,11900,500 GB,SSD,M.2-2280,1
Inland Platinum 2 TB,48000,2 TB,SSD,M.2-2280,1
Western Digital Black SN850 (w/Heatsink) 500 GB,12000,500 GB,SSD,M.2-2280,1
Team T-Force Cardea Zero Z340 1 TB,24700,1 TB,SSD,M.2-2280,1
ADATA XPG SX8200 Pro 2 TB,47000,2 TB,SSD,M.2-2280,1
Samsung 870 Evo 500 GB,16500,500 GB,SSD,"2.5""",1
Kingston A2000 250 GB,5000,250 GB,SSD,M.2-2280,1
Western Digital Black 1 TB,97000,1 TB,7200RPM,"2.5""",1
Seagate IronWolf NAS 8 TB,37500,8 TB,7200RPM,"3.5""",1
Western Digital Caviar Blue 500 GB,7400,500 GB,7200RPM,"3.5""",1
Western Digital AV-25 1 TB,18000,1 TB,5400RPM,"2.5""",1
Crucial P5 Plus 1 TB,19500,1 TB,SSD,M.2-2280,1
Crucial P2 250 GB,6800,250 GB,SSD,M.2-2280,1
Western Digital Green 1 TB,15000,1 TB,SSD,"2.5""",1
Crucial BX500 2 TB,38000,2 TB,SSD,"2.5""",1
SK hynix Gold S31 500 GB,17000,500 GB,SSD,"2.5""",1
Western Digital Green 6 TB,55000,6 TB,5400RPM,"3.5""",1
Seagate BarraCuda Pro 10 TB,75000,10 TB,7200RPM,"3.5""",1
Kingston KC2500 2 TB,48000,2 TB,SSD,M.2-2280,1
Seagate IronWolf Pro 4 TB,29000,4 TB,7200RPM,"3.5""",1
Corsair MP600 Core 1 TB,20000,1 TB,SSD,M.2-2280,1
Hitachi Ultrastar 7K4000 3 TB,25000,3 TB,7200RPM,"3.5""",1
Western Digital Black 10 TB,52000,10 TB,7200RPM,"3.5""",1
Western Digital RE 4 TB,38000,4 TB,7200RPM,"3.5""",1
Intel 660p 512 GB,14000,512 GB,SSD,M.2-2280,1
Western Digital Gold 8 TB,48000,8 TB,7200RPM,"3.5""",1
ADATA XPG SX8100 1 TB,25000,1 TB,SSD,M.2-2280,1
Team T-Force Cardea Zero Z330 512 GB,15000,512 GB,SSD,M.2-2280,1
Samsung 960 Pro 2 TB,43000,2 TB,SSD,M.2-2280,1
Hitachi Ultrastar 7K3000 2 TB,48000,2 TB,7200RPM,"3.5""",1
Samsung 850 Pro Series 256 GB,9200,256 GB,SSD,"2.5""",1
Sabrent Rocket 512 GB,14000,512 GB,SSD,M.2-2242,1
Gigabyte AORUS Gen4 1 TB,22500,1 TB,SSD,M.2-2280,1
Western Digital Scorpio Blue 500 GB,8400,500 GB,5400RPM,"2.5""",1
Samsung 860 Evo 4 TB,75000,4 TB,SSD,"2.5""",1
Seagate IronWolf NAS 4 TB,30000,4 TB,5900RPM,"3.5""",1
Gigabyte AORUS NVMe Gen4 2 TB,48000,2 TB,SSD,M.2-2280,1
Samsung 850 EVO-Series 250 GB,6000,250 GB,SSD,"2.5""",1
Western Digital WD_BLACK SN750 2 TB,36000,2 TB,SSD,M.2-2280,1
Team MP33 512 GB,15000,512 GB,SSD,M.2-2280,1
Inland Platinum 1 TB,27500,1 TB,SSD,M.2-2280,1
Corsair MP600 Force Series Gen4 2 TB,46500,2 TB,SSD,M.2-2280,1
Patriot VPN100 256 GB,9200,256 GB,SSD,M.2-2280,1
